2025-08-15 20:50:37.782648;1024;Hop;100;10ms;0ms;0;8.55;
2025-08-15 21:09:57.217255;1024;Hop;10;10ms;0ms;0;0.896337890625;
2025-08-15 21:20:20.351593;1024;Hop;20;10ms;0ms;0;1.69;
2025-08-15 21:27:18.489468;1024;Hop;30;10ms;0ms;0;2.55;
2025-08-15 21:33:29.382674;1024;Hop;40;10ms;0ms;0;2.89;
2025-08-15 21:37:50.377047;1024;Hop;50;10ms;0ms;0;4.2;
2025-08-15 21:41:32.570895;1024;Hop;60;10ms;0ms;0;4.99;
2025-08-15 21:44:44.840832;1024;Hop;70;10ms;0ms;0;5.84;
2025-08-15 21:47:32.406278;1024;Hop;80;10ms;0ms;0;6.8;
2025-08-15 21:50:06.402402;1024;Hop;90;10ms;0ms;0;7.47;
2025-08-15 21:52:24.536129;1024;Hop;100;10ms;0ms;0;8.46;
2025-08-15 21:57:25.287943;1024;Hop;100;5ms;0ms;0;8.36;
2025-08-15 21:59:43.197379;1024;Hop;100;10ms;0ms;0;8.47;
2025-08-15 22:02:07.819075;1024;Hop;100;20ms;0ms;0;8.03;
2025-08-15 22:05:01.196484;1024;Hop;100;50ms;0ms;0;6.56;
2025-08-15 22:08:28.266675;1024;Hop;100;100ms;0ms;0;5.42;
2025-08-15 22:12:55.155447;1024;Hop;100;200ms;0ms;0;4.13;
2025-08-15 22:17:34.239873;1024;Hop;100;300ms;0ms;0;3.96;
2025-08-15 22:22:45.616926;1024;Hop;100;500ms;0ms;0;3.55;
2025-08-15 22:25:04.755292;1024;Hop;100;10ms;0ms;0;8.39;
2025-08-15 22:27:20.773691;1024;Hop;100;10ms;5ms;0;8.6;
2025-08-15 22:29:38.162791;1024;Hop;100;10ms;10ms;0;8.51;
2025-08-15 22:32:00.120372;1024;Hop;100;10ms;20ms;0;8.2;
2025-08-15 22:34:25.543794;1024;Hop;100;10ms;30ms;0;7.98;
2025-08-15 22:36:58.637590;1024;Hop;100;10ms;50ms;0;7.53;
2025-08-15 22:39:36.893418;1024;Hop;100;10ms;75ms;0;7.27;
2025-08-15 22:42:19.281793;1024;Hop;100;10ms;100ms;0;7.06;
2025-08-15 22:45:13.821689;1024;Hop;100;10ms;150ms;0;6.53;
2025-08-15 22:48:13.404593;1024;Hop;100;10ms;200ms;0;6.34;
2025-08-15 22:50:31.374528;1024;Hop;100;10ms;0ms;0;8.47;
2025-08-15 22:52:47.881545;1024;Hop;100;10ms;0ms;0.1;8.57;
2025-08-15 22:55:05.485264;1024;Hop;100;10ms;0ms;0.25;8.49;
2025-08-15 22:57:24.558706;1024;Hop;100;10ms;0ms;0.5;8.39;
2025-08-15 22:59:42.799920;1024;Hop;100;10ms;0ms;0.75;8.46;
2025-08-15 23:02:02.168761;1024;Hop;100;10ms;0ms;1;8.36;
2025-08-15 23:04:19.892176;1024;Hop;100;10ms;0ms;2;8.49;
2025-08-15 23:06:39.276328;1024;Hop;100;10ms;0ms;3;8.46;
2025-08-15 23:08:56.286076;1024;Hop;100;10ms;0ms;5;8.56;
2025-08-15 23:11:13.272306;1024;Hop;100;10ms;0ms;7.5;8.53;
2025-08-15 23:13:33.075617;1024;Hop;100;10ms;0ms;10;8.49;
